epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.365,1.1453,4.005,1.43282,0.33622,0.6175,0.42065,0.27909,1.19789,3.86704,1.50429,0.000360588,0.000360588,0.000360588
2,255.858,1.27794,2.41715,1.55573,0.44542,0.59217,0.52626,0.34002,1.60958,2.38478,1.99966,0.00069474,0.00069474,0.00069474
3,399.296,1.29941,2.06659,1.56205,0.28615,0.50601,0.41495,0.23716,1.42567,3.38575,1.85129,0.00099223,0.00099223,0.00099223
4,550.263,1.27268,1.81542,1.54804,0.57997,0.53403,0.63452,0.41593,1.39502,2.18877,1.73852,0.000946016,0.000946016,0.000946016
5,677.414,1.21431,1.66558,1.48684,0.37697,0.52762,0.49874,0.3151,1.38266,3.05706,1.7646,0.000891022,0.000891022,0.000891022
6,816.317,1.14047,1.51967,1.46532,0.70752,0.65434,0.70622,0.44433,1.32628,1.52227,1.70107,0.000836027,0.000836027,0.000836027
7,969.549,1.15209,1.47074,1.44411,0.70677,0.71822,0.74287,0.50497,1.25082,1.41722,1.59138,0.000781033,0.000781033,0.000781033
8,1115.13,1.10177,1.31862,1.41403,0.74514,0.68762,0.75694,0.51419,1.24748,1.31969,1.52548,0.000726038,0.000726038,0.000726038
9,1261.49,1.07165,1.27547,1.37966,0.69886,0.81618,0.81092,0.54528,1.22519,1.34236,1.56368,0.000671044,0.000671044,0.000671044
10,1408.87,1.0556,1.18752,1.35859,0.79542,0.82774,0.86881,0.60161,1.23254,1.12535,1.56838,0.000616049,0.000616049,0.000616049
11,1542.52,0.90797,1.14354,1.3398,0.65442,0.72338,0.77259,0.54473,1.1265,1.24338,1.45598,0.000561055,0.000561055,0.000561055
12,1680.57,0.86098,0.98085,1.29687,0.71713,0.73134,0.79977,0.5636,1.13509,1.53642,1.47074,0.00050606,0.00050606,0.00050606
13,1816.86,0.85377,0.92954,1.26783,0.80514,0.85984,0.90747,0.65434,1.09215,1.04141,1.43585,0.000451066,0.000451066,0.000451066
14,1959.35,0.81336,0.85062,1.25605,0.79339,0.84264,0.90319,0.65068,1.0729,1.03626,1.39501,0.000396071,0.000396071,0.000396071
15,2102.5,0.75926,0.8073,1.19303,0.86816,0.84977,0.93646,0.66863,1.07047,0.94132,1.3771,0.000341077,0.000341077,0.000341077
16,2240.83,0.78495,0.76457,1.2188,0.90539,0.85958,0.93016,0.68706,1.04402,0.90533,1.35722,0.000286083,0.000286083,0.000286083
17,2398.26,0.75469,0.74577,1.2038,0.86114,0.84848,0.90872,0.67287,1.02519,0.91448,1.33905,0.000231088,0.000231088,0.000231088
18,2540.95,0.71338,0.69596,1.18618,0.91259,0.844,0.92605,0.7065,0.99358,0.86684,1.30385,0.000176094,0.000176094,0.000176094
19,2687.94,0.70299,0.65225,1.151,0.95695,0.85507,0.94499,0.70943,1.0113,0.7959,1.30763,0.000121099,0.000121099,0.000121099
20,2840,0.69443,0.64335,1.13643,0.94042,0.87962,0.95473,0.70995,1.01327,0.78852,1.3096,6.61045e-05,6.61045e-05,6.61045e-05
