epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.07,1.33698,3.57443,1.55505,0.80307,0.57162,0.74985,0.48549,1.28107,1.70526,1.5372,0.000366219,0.000366219,0.000366219
2,498.779,1.35229,2.05677,1.61581,0.61846,0.59048,0.60083,0.40047,1.33756,2.26908,1.67372,0.000700093,0.000700093,0.000700093
3,828.401,1.304,1.79392,1.59659,0.58019,0.6063,0.59885,0.37688,1.30026,1.77934,1.64075,0.000997304,0.000997304,0.000997304
4,1125.5,1.26553,1.64608,1.55949,0.69509,0.72591,0.78237,0.53289,1.23336,1.48737,1.55726,0.000946016,0.000946016,0.000946016
5,1442,1.2201,1.50563,1.5043,0.69886,0.66978,0.69327,0.43602,1.427,1.93139,1.69722,0.000891022,0.000891022,0.000891022
6,1744.85,1.18308,1.43048,1.45115,0.83223,0.81358,0.8664,0.58825,1.20329,1.13275,1.51133,0.000836027,0.000836027,0.000836027
7,2082.63,1.13822,1.34488,1.42841,0.76633,0.84096,0.87726,0.61897,1.14871,1.01614,1.42894,0.000781033,0.000781033,0.000781033
8,2401.9,1.11537,1.24905,1.39119,0.85174,0.77326,0.87289,0.59428,1.19078,1.10967,1.5155,0.000726038,0.000726038,0.000726038
9,2749.33,1.07456,1.18957,1.36747,0.85231,0.86605,0.92128,0.65817,1.14443,0.99719,1.45486,0.000671044,0.000671044,0.000671044
10,3054.02,1.05518,1.16724,1.34843,0.89816,0.82808,0.91964,0.68219,1.11387,0.90191,1.38867,0.000616049,0.000616049,0.000616049
11,3302.52,0.83666,0.88437,1.237,0.86862,0.79808,0.89219,0.65065,1.13765,1.01198,1.43223,0.000561055,0.000561055,0.000561055
12,3603.28,0.79734,0.74128,1.19854,0.95569,0.84238,0.92433,0.67043,1.07483,0.82546,1.35003,0.00050606,0.00050606,0.00050606
13,3947.96,0.74621,0.66954,1.17452,0.89547,0.82946,0.90736,0.66001,1.06419,0.89797,1.38486,0.000451066,0.000451066,0.000451066
14,4291.16,0.70823,0.61857,1.15227,0.89785,0.86602,0.90354,0.6479,1.05605,0.88525,1.34132,0.000396071,0.000396071,0.000396071
15,4669.2,0.68472,0.57879,1.11727,0.92457,0.83897,0.92931,0.68946,1.04295,0.8105,1.33006,0.000341077,0.000341077,0.000341077
16,5025.85,0.65776,0.51973,1.10808,0.91248,0.90285,0.93706,0.6864,1.03149,0.7906,1.32558,0.000286083,0.000286083,0.000286083
17,5345.56,0.62588,0.49219,1.08417,0.95044,0.88654,0.94331,0.70774,1.01038,0.722,1.30323,0.000231088,0.000231088,0.000231088
18,5719.84,0.60864,0.4677,1.06861,0.91861,0.90487,0.94395,0.68433,1.00621,0.72543,1.31185,0.000176094,0.000176094,0.000176094
19,6077.37,0.5836,0.4479,1.05882,0.95127,0.86545,0.9375,0.7069,0.98419,0.748,1.26664,0.000121099,0.000121099,0.000121099
20,6443.05,0.55458,0.41979,1.03917,0.95974,0.87903,0.94304,0.71158,0.99343,0.73173,1.28592,6.61045e-05,6.61045e-05,6.61045e-05
